goos: darwin
goarch: arm64
pkg: github.com/open-telemetry/opentelemetry-collector-contrib/pkg/stanza/fileconsumer
cpu: Apple M3 Pro
BenchmarkFileInput/Single-12         	  112419	      9885 ns/op	   10240 B/op	      10 allocs/op
BenchmarkFileInput/Single-12         	  129000	      8665 ns/op	   10240 B/op	      10 allocs/op
BenchmarkFileInput/Single-12         	  129039	      8504 ns/op	   10240 B/op	      10 allocs/op
BenchmarkFileInput/Single-12         	  131353	      8686 ns/op	   10241 B/op	      10 allocs/op
BenchmarkFileInput/Single-12         	  130299	      8406 ns/op	   10240 B/op	      10 allocs/op
BenchmarkFileInput/Single-12         	  134624	      8455 ns/op	   10241 B/op	      10 allocs/op
BenchmarkFileInput/Single-12         	  131814	      8383 ns/op	   10240 B/op	      10 allocs/op
BenchmarkFileInput/Single-12         	  132538	      8527 ns/op	   10241 B/op	      10 allocs/op
BenchmarkFileInput/Single-12         	  136832	      8695 ns/op	   10240 B/op	      10 allocs/op
BenchmarkFileInput/Single-12         	  131648	      8377 ns/op	   10240 B/op	      10 allocs/op
BenchmarkFileInput/Glob-12           	   49039	     23776 ns/op	   40968 B/op	      40 allocs/op
BenchmarkFileInput/Glob-12           	   52698	     21398 ns/op	   40964 B/op	      40 allocs/op
BenchmarkFileInput/Glob-12           	   51968	     21434 ns/op	   40964 B/op	      40 allocs/op
BenchmarkFileInput/Glob-12           	   50824	     21387 ns/op	   40966 B/op	      40 allocs/op
BenchmarkFileInput/Glob-12           	   52938	     22417 ns/op	   40967 B/op	      40 allocs/op
BenchmarkFileInput/Glob-12           	   52768	     20502 ns/op	   40966 B/op	      40 allocs/op
BenchmarkFileInput/Glob-12           	   52627	     20021 ns/op	   40963 B/op	      40 allocs/op
BenchmarkFileInput/Glob-12           	   54121	     23343 ns/op	   40963 B/op	      40 allocs/op
BenchmarkFileInput/Glob-12           	   60194	     22343 ns/op	   40963 B/op	      40 allocs/op
BenchmarkFileInput/Glob-12           	   51789	     26375 ns/op	   40963 B/op	      40 allocs/op
BenchmarkFileInput/MultiGlob-12      	   46299	     21976 ns/op	   40964 B/op	      40 allocs/op
BenchmarkFileInput/MultiGlob-12      	   49178	     22079 ns/op	   40968 B/op	      40 allocs/op
BenchmarkFileInput/MultiGlob-12      	   49041	     21748 ns/op	   40965 B/op	      40 allocs/op
BenchmarkFileInput/MultiGlob-12      	   52790	     24202 ns/op	   40964 B/op	      40 allocs/op
BenchmarkFileInput/MultiGlob-12      	   45476	     22704 ns/op	   40964 B/op	      40 allocs/op
BenchmarkFileInput/MultiGlob-12      	   54224	     20837 ns/op	   40964 B/op	      40 allocs/op
BenchmarkFileInput/MultiGlob-12      	   53048	     20484 ns/op	   40965 B/op	      40 allocs/op
BenchmarkFileInput/MultiGlob-12      	   53276	     20983 ns/op	   40964 B/op	      40 allocs/op
BenchmarkFileInput/MultiGlob-12      	   48332	     20745 ns/op	   40964 B/op	      40 allocs/op
BenchmarkFileInput/MultiGlob-12      	   57670	     20503 ns/op	   40968 B/op	      40 allocs/op
