goos: darwin
goarch: arm64
pkg: github.com/open-telemetry/opentelemetry-collector-contrib/pkg/stanza/fileconsumer
cpu: Apple M1 Max
BenchmarkFileInput/Single-10         	  107295	     11448 ns/op	       0 B/op	       0 allocs/op
BenchmarkFileInput/Single-10         	  105981	     11033 ns/op	       0 B/op	       0 allocs/op
BenchmarkFileInput/Single-10         	  112378	     10930 ns/op	       0 B/op	       0 allocs/op
BenchmarkFileInput/Single-10         	  112312	     10884 ns/op	       1 B/op	       0 allocs/op
BenchmarkFileInput/Single-10         	  106134	     11871 ns/op	       0 B/op	       0 allocs/op
BenchmarkFileInput/Single-10         	  107766	     11412 ns/op	       1 B/op	       0 allocs/op
BenchmarkFileInput/Single-10         	  105798	     11698 ns/op	       1 B/op	       0 allocs/op
BenchmarkFileInput/Single-10         	  107370	     10752 ns/op	       1 B/op	       0 allocs/op
BenchmarkFileInput/Single-10         	  113095	     10941 ns/op	       0 B/op	       0 allocs/op
BenchmarkFileInput/Single-10         	  103293	     11030 ns/op	       1 B/op	       0 allocs/op
BenchmarkFileInput/Glob-10           	   40392	     25267 ns/op	       4 B/op	       0 allocs/op
BenchmarkFileInput/Glob-10           	   46767	     23493 ns/op	       3 B/op	       0 allocs/op
BenchmarkFileInput/Glob-10           	   47454	     22488 ns/op	       3 B/op	       0 allocs/op
BenchmarkFileInput/Glob-10           	   47042	     22794 ns/op	       6 B/op	       0 allocs/op
BenchmarkFileInput/Glob-10           	   41698	     24203 ns/op	       7 B/op	       0 allocs/op
BenchmarkFileInput/Glob-10           	   42507	     24454 ns/op	       7 B/op	       0 allocs/op
BenchmarkFileInput/Glob-10           	   49902	     21957 ns/op	       3 B/op	       0 allocs/op
BenchmarkFileInput/Glob-10           	   48817	     22468 ns/op	      11 B/op	       0 allocs/op
BenchmarkFileInput/Glob-10           	   47300	     22855 ns/op	       3 B/op	       0 allocs/op
BenchmarkFileInput/Glob-10           	   50040	     22241 ns/op	       6 B/op	       0 allocs/op
BenchmarkFileInput/MultiGlob-10      	   48190	     23003 ns/op	       3 B/op	       0 allocs/op
BenchmarkFileInput/MultiGlob-10      	   47467	     22342 ns/op	       6 B/op	       0 allocs/op
BenchmarkFileInput/MultiGlob-10      	   47703	     22768 ns/op	      12 B/op	       0 allocs/op
BenchmarkFileInput/MultiGlob-10      	   48352	     22631 ns/op	       6 B/op	       0 allocs/op
BenchmarkFileInput/MultiGlob-10      	   48577	     23425 ns/op	       9 B/op	       0 allocs/op
BenchmarkFileInput/MultiGlob-10      	   42961	     23828 ns/op	       7 B/op	       0 allocs/op
BenchmarkFileInput/MultiGlob-10      	   47253	     22786 ns/op	       6 B/op	       0 allocs/op
BenchmarkFileInput/MultiGlob-10      	   46033	     23301 ns/op	       6 B/op	       0 allocs/op
BenchmarkFileInput/MultiGlob-10      	   47768	     22611 ns/op	       6 B/op	       0 allocs/op
BenchmarkFileInput/MultiGlob-10      	   41230	     24464 ns/op	       4 B/op	       0 allocs/op
BenchmarkFileInput/MaxConcurrent-10  	   21351	     55208 ns/op	       9 B/op	       0 allocs/op
BenchmarkFileInput/MaxConcurrent-10  	   21001	     57085 ns/op	      27 B/op	       0 allocs/op
BenchmarkFileInput/MaxConcurrent-10  	   20642	     54939 ns/op	      36 B/op	       0 allocs/op
BenchmarkFileInput/MaxConcurrent-10  	   20928	     55141 ns/op	       9 B/op	       0 allocs/op
