goos: darwin
goarch: arm64
pkg: github.com/open-telemetry/opentelemetry-collector-contrib/processor/resourcedetectionprocessor/internal
cpu: Apple M3 Pro
BenchmarkMergeResource/From_1_Into_1_Match-12         	153076909	         7.620 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12         	154651688	         7.729 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12         	150496638	         7.805 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12         	172477666	         7.301 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12         	155659873	         7.510 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12         	158939992	         7.652 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12         	157146404	         7.491 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12         	174861454	         7.384 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12         	155948128	         7.466 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12         	173157819	         7.246 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12   	    1437	    793613 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12   	    1665	    758144 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12   	    1508	    786829 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12   	    1719	    747214 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12   	    1477	    789920 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12   	    1717	    763284 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12   	    1520	    788815 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12   	    1720	    755640 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12   	    1491	    782059 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12   	    1707	    753956 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_50Pct-12   	    1125	   1046488 ns/op	    8043 B/op	     500 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_50Pct-12   	    1300	   1010947 ns/op	    8037 B/op	     500 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_50Pct-12   	    1134	    988907 ns/op	    8043 B/op	     500 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_50Pct-12   	    1263	   1033086 ns/op	    8039 B/op	     500 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_50Pct-12   	    1130	   1010363 ns/op	    8043 B/op	     500 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_50Pct-12   	    1230	   1038282 ns/op	    8040 B/op	     500 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_50Pct-12   	    1144	    965451 ns/op	    8043 B/op	     500 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_50Pct-12   	    1090	   1057705 ns/op	    8045 B/op	     500 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_50Pct-12   	    1140	    962570 ns/op	    8043 B/op	     500 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_50Pct-12   	    1134	   1055264 ns/op	    8043 B/op	     500 allocs/op
BenchmarkMergeResource/From_1_Into_0-12               	32715822	        33.94 ns/op	      48 B/op	       2 allocs/op
BenchmarkMergeResource/From_1_Into_0-12               	33128846	        36.08 ns/op	      48 B/op	       2 allocs/op
BenchmarkMergeResource/From_1_Into_0-12               	33043437	        34.67 ns/op	      48 B/op	       2 allocs/op
BenchmarkMergeResource/From_1_Into_0-12               	
