goos: darwin
goarch: arm64
pkg: github.com/open-telemetry/opentelemetry-collector-contrib/processor/resourcedetectionprocessor/internal
cpu: Apple M3 Pro
BenchmarkMergeResource/From_1_Into_0-12         	32411444	        34.12 ns/op	      48 B/op	       2 allocs/op
BenchmarkMergeResource/From_1_Into_0-12         	36341794	        35.18 ns/op	      48 B/op	       2 allocs/op
BenchmarkMergeResource/From_1_Into_0-12         	32689084	        35.41 ns/op	      48 B/op	       2 allocs/op
BenchmarkMergeResource/From_1_Into_0-12         	36523286	        38.79 ns/op	      48 B/op	       2 allocs/op
BenchmarkMergeResource/From_1_Into_0-12         	32542850	        36.55 ns/op	      48 B/op	       2 allocs/op
BenchmarkMergeResource/From_1_Into_0-12         	33199076	        35.76 ns/op	      48 B/op	       2 allocs/op
BenchmarkMergeResource/From_1_Into_0-12         	32165113	        36.05 ns/op	      48 B/op	       2 allocs/op
BenchmarkMergeResource/From_1_Into_0-12         	37044373	        34.94 ns/op	      48 B/op	       2 allocs/op
BenchmarkMergeResource/From_1_Into_0-12         	32569347	        36.36 ns/op	      48 B/op	       2 allocs/op
BenchmarkMergeResource/From_1_Into_0-12         	35813946	        34.40 ns/op	      48 B/op	       2 allocs/op
BenchmarkMergeResource/From_1000_Into_0-12      	   67512	     17978 ns/op	   48768 B/op	    1001 allocs/op
BenchmarkMergeResource/From_1000_Into_0-12      	   68577	     17325 ns/op	   48768 B/op	    1001 allocs/op
BenchmarkMergeResource/From_1000_Into_0-12      	   66276	     17923 ns/op	   48768 B/op	    1001 allocs/op
BenchmarkMergeResource/From_1000_Into_0-12      	   65486	     17727 ns/op	   48768 B/op	    1001 allocs/op
BenchmarkMergeResource/From_1000_Into_0-12      	   66246	     19452 ns/op	   48768 B/op	    1001 allocs/op
BenchmarkMergeResource/From_1000_Into_0-12      	   67940	     17642 ns/op	   48768 B/op	    1001 allocs/op
BenchmarkMergeResource/From_1000_Into_0-12      	   75606	     17042 ns/op	   48768 B/op	    1001 allocs/op
BenchmarkMergeResource/From_1000_Into_0-12      	   68535	     17042 ns/op	   48768 B/op	    1001 allocs/op
BenchmarkMergeResource/From_1000_Into_0-12      	   76711	     16673 ns/op	   48768 B/op	    1001 allocs/op
BenchmarkMergeResource/From_1000_Into_0-12      	   67891	     17148 ns/op	   48768 B/op	    1001 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12   	179574262	         6.891 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12   	164653124	         7.293 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12   	176891833	         7.006 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12   	163330480	         7.442 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12   	170368544	         6.851 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12   	167318268	         7.204 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12   	159965322	         7.114 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12   	176465095	         6.999 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12   	166126245	         7.242 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1_Into_1_Match-12   	177205633	         6.882 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12         	    1522	    800660 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12         	    1504	    761237 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12         	    1496	    793109 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12         	    1330	    790422 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12         	    1687	    772495 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12         	    1500	    790009 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12         	    1609	    753927 ns/op	       0 B/op	       0 allocs/op
BenchmarkMergeResource/From_1000_Into_1000_Match-12         	    1520	    829902 ns/op	       0 B/op	       0 allocs/op
