Variable_name	Value
Aborted_clients	1
Aborted_connects	2
Acl_cache_items_count	3
Binlog_cache_disk_use	4
Binlog_cache_use	5
Binlog_stmt_cache_disk_use	6
Binlog_stmt_cache_use	7
Bytes_received	8
Bytes_sent	9
Com_admin_commands	10
Com_assign_to_keycache	11
Com_alter_db	12
Com_alter_event	13
Com_alter_function	14
Com_alter_instance	15
Com_alter_procedure	16
Com_alter_resource_group	17
Com_alter_server	18
Com_alter_table	19
Com_alter_tablespace	20
Com_alter_user	21
Com_alter_user_default_role	22
Com_analyze	23
Com_begin	24
Com_binlog	25
Com_call_procedure	26
Com_change_db	27
Com_change_master	28
Com_change_repl_filter	29
Com_change_replication_source	30
Com_check	31
Com_checksum	32
Com_clone	33
Com_commit	34
Com_create_db	35
Com_create_event	36
Com_create_function	37
Com_create_index	38
Com_create_procedure	39
Com_create_role	40
Com_create_server	41
Com_create_table	42
Com_create_resource_group	43
Com_create_trigger	44
Com_create_udf	45
Com_create_user	46
Com_create_view	47
Com_create_spatial_reference_system	48
Com_dealloc_sql	49
Com_delete	50
Com_delete_multi	51
Com_do	52
Com_drop_db	53
Com_drop_event	54
Com_drop_function	55
Com_drop_index	56
Com_drop_procedure	57
Com_drop_resource_group	58
Com_drop_role	59
Com_drop_server	60
Com_drop_spatial_reference_system	61
Com_drop_table	62
Com_drop_trigger	63
Com_drop_user	64
Com_drop_view	65
Com_empty_query	66
Com_execute_sql	67
Com_explain_other	68
Com_flush	69
Com_get_diagnostics	70
Com_grant	71
Com_grant_roles	72
Com_ha_close	73
Com_ha_open	74
Com_ha_read	75
Com_help	76
Com_import	77
Com_insert	78
Com_insert_select	79
Com_install_component	80
Com_install_plugin	81
Com_kill	82
Com_load	83
Com_lock_instance	84
Com_lock_tables	85
Com_optimize	86
Com_preload_keys	87
Com_prepare_sql	88
Com_purge	89
Com_purge_before_date	90
Com_release_savepoint	91
Com_rename_table	92
Com_rename_user	93
Com_repair	94
Com_replace	95
Com_replace_select	96
Com_reset	97
Com_resignal	98
Com_restart	99
Com_revoke	100
Com_revoke_all	101
Com_revoke_roles	102
Com_rollback	103
Com_rollback_to_savepoint	104
Com_savepoint	105
Com_select	106
Com_set_option	107
Com_set_password	108
Com_set_resource_group	109
Com_set_role	110
Com_signal	111
Com_show_binlog_events	112
Com_show_binlogs	113
Com_show_charsets	114
Com_show_collations	115
Com_show_create_db	116
Com_show_create_event	117
Com_show_create_func	118
Com_show_create_proc	119
Com_show_create_table	120
Com_show_create_trigger	121
Com_show_databases	122
Com_show_engine_logs	123
Com_show_engine_mutex	124
Com_show_engine_status	125
Com_show_events	126
Com_show_errors	127
Com_show_fields	128
Com_show_function_code	129
Com_show_function_status	130
Com_show_grants	131
Com_show_keys	132
Com_show_master_status	133
Com_show_open_tables	134
Com_show_plugins	135
Com_show_privileges	136
Com_show_procedure_code	137
Com_show_procedure_status	138
Com_show_processlist	139
Com_show_profile	140
Com_show_profiles	141
Com_show_relaylog_events	142
Com_show_replicas	143
Com_show_slave_hosts	144
Com_show_replica_status	145
Com_show_slave_status	146
Com_show_status	147
Com_show_storage_engines	148
Com_show_table_status	149
Com_show_tables	150
Com_show_triggers	151
Com_show_variables	152
Com_show_warnings	153
Com_show_create_user	154
Com_shutdown	155
Com_replica_start	156
Com_slave_start	157
Com_replica_stop	158
Com_slave_stop	159
Com_group_replication_start	160
Com_group_replication_stop	161
Com_stmt_execute	162
Com_stmt_close	163
Com_stmt_fetch	164
Com_stmt_prepare	165
Com_stmt_reset	166
Com_stmt_send_long_data	167
Com_truncate	168
Com_uninstall_component	169
Com_uninstall_plugin	170
Com_unlock_instance	171
Com_unlock_tables	172
Com_update	173
Com_update_multi	174
Com_xa_commit	175
Com_xa_end	176
Com_xa_prepare	177
Com_xa_recover	178
Com_xa_rollback	179
Com_xa_start	180
Com_stmt_reprepare	181
Connection_errors_accept	182
Connection_errors_internal	183
Connection_errors_max_connections	184
Connection_errors_peer_address	185
Connection_errors_select	186
Connection_errors_tcpwrap	187
Connections	188
Created_tmp_disk_tables	189
Created_tmp_files	190
Created_tmp_tables	191
Current_tls_ca	ca.pem
Current_tls_capath	
Current_tls_cert	server-cert.pem
Current_tls_cipher	
Current_tls_ciphersuites	
Current_tls_crl	
Current_tls_crlpath	
Current_tls_key	server-key.pem
Current_tls_version	TLSv1,TLSv1.1,TLSv1.2,TLSv1.3
Delayed_errors	192
Delayed_insert_threads	193
Delayed_writes	194
Error_log_buffered_bytes	195
Error_log_buffered_events	196
Error_log_expired_events	197
Error_log_latest_write	198
Flush_commands	199
Handler_commit	200
Handler_delete	211
Handler_discover	212
Handler_external_lock	213
Handler_mrr_init	214
Handler_prepare	215
Handler_read_first	216
